RESULTS_OUTCOME_ANAL_GRP_ID|RESULTS_OUTCOME_ANALYSIS_ID|ARM_GROUP_ID
1743|768|489551
1744|769|489551
1745|770|489551
1746|771|489551
1747|768|463240
1748|770|463240
1749|769|465733
1750|771|465733
1751|772|464129
1752|772|465507
1753|772|501564
1754|773|492392
1755|773|490291
1756|774|522235
1757|774|519907
1758|775|518927
1759|775|516270
1760|597|518150
1761|597|523719
1762|598|521405
1763|598|496069
1764|599|557468
1765|599|554839
1766|600|562043
1767|600|559092
1768|601|560729
1769|601|558903
1770|602|560524
1771|602|567100
1772|776|568185
1773|776|570110
1774|777|574667
1775|777|567995
1776|778|607411
1777|778|605613
1778|779|606680
1779|779|608855
1780|780|394731
1781|780|391201
1782|781|388597
1783|781|390230
1784|782|401174
1785|782|402538
1786|783|398343
1787|783|396222
1788|784|397865
1789|784|371456
1583|588|546729
1584|588|548346
1585|589|545730
1586|589|547623
1587|590|545281
1588|591|545281
1589|592|545281
1590|593|545281
1591|594|545281
1592|971|586091
1593|970|587158
1594|970|587990
1595|971|587990
1596|973|584752
1597|972|612044
1598|972|612776
1599|973|612776
1600|975|613232
1601|974|610072
1602|974|611336
1603|975|611336
1604|977|596064
1605|976|592905
1606|976|593697
1607|977|593697
1608|979|595308
1609|978|592684
1610|978|594028
1611|979|594028
1612|981|614955
1613|980|592729
1614|980|593787
1615|981|593787
1616|983|595685
1617|982|593594
1618|982|602961
1619|983|602961
1620|849|601135
1621|984|598173
1622|984|599808
1623|849|599808
1624|851|597100
1712|753|530802
1713|753|531640
1714|754|528916
1715|754|510615
1716|755|509326
1717|755|510697
1627|851|386000
1628|853|382641
1629|852|360427
1630|852|357771
1631|853|357771
1632|855|358848
1633|854|359954
1634|854|356737
1635|855|356737
1636|857|393637
1637|856|394735
1638|856|391205
1639|857|391205
1640|858|371460
1641|858|369599
1642|859|371517
1643|860|373181
1644|861|408753
1645|861|406376
1646|862|418280
1647|862|419606
1648|863|417287
1649|863|415211
1650|864|409764
1804|791|409760
1805|791|410846
1806|791|412742
1807|792|410348
1808|792|390439
1809|793|390364
1810|793|421755
1811|794|437445
1812|794|434771
1813|795|440625
1814|795|441700
1815|796|454647
1816|796|451746
1817|797|453355
1818|797|485253
1819|952|467358
1820|952|464133
1821|953|472863
1822|954|506435
1823|954|481047
1824|955|476990
1825|955|513010
1826|955|514352
1827|956|561067
1683|738|516318
1684|739|490234
1685|739|492388
1686|740|490041
1687|740|521984
1688|741|519903
1689|741|518923
1690|742|516266
1691|742|517892
1692|743|523468
1693|743|521401
1694|744|495523
1695|744|492254
1696|745|497508
1697|745|495157
1698|746|496765
1699|746|528487
1700|747|530159
1701|747|531538
1702|748|528265
1703|748|526215
1704|749|537478
1705|749|539138
1706|750|539958
1707|750|536677
1708|751|538081
1709|751|535367
1710|752|528618
1711|752|529720
1886|1067|393899
1887|1068|394739
1888|1068|391466
1889|1069|371719
1890|1069|369603
1891|1070|372083
1892|1071|372083
1893|1072|372083
1894|1073|372083
1895|1074|372083
1896|1075|372083
1897|1070|369663
1898|1071|369663
1899|1072|369663
1900|1073|369663
1901|1074|369663
1902|1075|369663
1903|1076|370739
1904|1076|372392
1905|1077|387139
1906|1077|422574
1907|1078|425830
1908|1078|431115
1909|1079|432750
